acumulado,vsaparecer,soma,saiu
0,0,199,1
1,0,185,1
2,0,182,1
3,0,197,0
3,1,202,1
4,0,183,0
4,1,215,0
4,2,204,0
4,3,212,1
5,0,170,1
6,0,214,1
7,0,165,1
8,0,176,1
9,0,198,0
9,1,204,0
9,2,207,0
9,3,171,0
9,4,216,1
10,0,191,1
11,0,198,0
11,1,212,1
12,0,148,0
12,1,164,1
13,0,202,1
14,0,169,0
14,1,215,1
15,0,222,1
16,0,191,1
17,0,199,0
17,1,178,1
18,0,209,0
18,1,177,1
19,0,193,1
20,0,184,1
21,0,209,1
22,0,206,1
23,0,189,1
24,0,175,0
24,1,223,1
25,0,192,0
25,1,217,0
25,2,188,1
26,0,201,0
26,1,208,1
27,0,204,0
27,1,191,1
28,0,163,1
29,0,215,1
30,0,209,1
31,0,182,1
32,0,187,1
33,0,206,1
34,0,186,1
35,0,188,0
35,1,162,0
35,2,212,0
35,3,178,1
36,0,195,1
37,0,180,1
38,0,198,1
39,0,209,1
40,0,201,1
41,0,231,1
42,0,176,0
42,1,220,0
42,2,208,1
43,0,216,1
44,0,166,0
44,1,207,1
45,0,181,0
45,1,185,1
46,0,197,1
47,0,194,1
48,0,172,1
49,0,161,1
50,0,197,0
50,1,204,1
51,0,166,0
51,1,210,0
51,2,172,0
51,3,150,1
52,0,192,0
52,1,177,1
53,0,214,0
53,1,185,1
54,0,199,0
54,1,186,1
55,0,179,1
56,0,245,1
57,0,214,1
58,0,212,1
59,0,196,0
59,1,198,0
59,2,215,1
60,0,173,1
61,0,218,0
61,1,227,0
61,2,207,1
62,0,188,1
63,0,188,1
64,0,203,0
64,1,187,1
65,0,172,1
66,0,226,1
67,0,199,1
68,0,172,0
68,1,181,1
69,0,187,1
70,0,208,1
71,0,205,0
71,1,219,1
72,0,184,1
73,0,185,1
74,0,183,1
75,0,185,1
76,0,214,1
77,0,205,1
78,0,206,0
78,1,209,1
79,0,193,1
80,0,184,1
81,0,192,0
81,1,222,1
82,0,203,0
82,1,187,1
83,0,184,0
83,1,175,1
84,0,209,1
85,0,216,1
86,0,187,0
86,1,192,1
87,0,182,1
88,0,192,1
89,0,183,1
90,0,200,0
90,1,187,0
90,2,207,1
91,0,193,1
92,0,220,0
92,1,199,0
92,2,202,0
92,3,188,0
92,4,226,1
93,0,208,1
94,0,204,1
95,0,203,1
96,0,190,1
97,0,199,0
97,1,223,0
97,2,198,1
98,0,189,1
99,0,211,0
99,1,204,1
100,0,170,1
101,0,209,1
102,0,184,1
103,0,188,0
103,1,209,1
104,0,165,1
105,0,196,1
106,0,239,1
107,0,166,1
108,0,188,0
108,1,183,1
109,0,185,0
109,1,201,0
109,2,188,0
109,3,195,0
109,4,169,1
110,0,181,0
110,1,217,1
111,0,181,1
112,0,209,1
113,0,193,1
114,0,186,1
115,0,233,1
116,0,212,1
117,0,204,0
117,1,202,0
117,2,158,1
118,0,198,0
118,1,198,1
119,0,213,1
120,0,203,1
121,0,179,1
122,0,217,1
123,0,240,1
124,0,222,1
125,0,189,0
125,1,181,1
126,0,214,0
126,1,180,1
127,0,172,0
127,1,216,0
127,2,175,1
128,0,219,0
128,1,181,0
128,2,184,0
128,3,173,1
129,0,178,1
130,0,165,1
131,0,217,1
132,0,174,0
132,1,196,1
133,0,199,1
134,0,188,1
135,0,167,0
135,1,174,1
136,0,199,0
136,1,211,1
137,0,190,1
138,0,178,1
139,0,197,1
140,0,200,1
141,0,183,1
142,0,176,1
143,0,167,1
144,0,208,1
145,0,217,1
146,0,242,0
146,1,190,0
146,2,178,0
146,3,208,1
147,0,213,1
148,0,195,0
148,1,216,1
149,0,198,0
149,1,220,1
150,0,201,1
151,0,155,1
152,0,198,0
152,1,218,1
153,0,141,0
153,1,173,1
154,0,236,0
154,1,184,0
154,2,210,0
154,3,203,1
155,0,188,0
155,1,198,1
156,0,213,0
156,1,208,0
156,2,187,0
156,3,197,1
157,0,189,1
158,0,189,0
158,1,185,0
158,2,187,1
159,0,210,0
159,1,184,0
159,2,209,0
159,3,211,1
160,0,185,1
161,0,156,1
162,0,187,0
162,1,183,0
162,2,191,0
162,3,213,0
162,4,212,0
162,5,162,1
163,0,182,1
164,0,196,0
164,1,200,1
165,0,202,0
165,1,208,1
166,0,179,1
167,0,179,1
168,0,207,0
168,1,204,0
168,2,182,0
168,3,192,1
169,0,189,1
170,0,216,0
170,1,192,1
171,0,171,1
172,0,188,1
173,0,223,1
174,0,182,1
175,0,171,1
176,0,197,1
177,0,173,1
178,0,198,1
179,0,184,1
180,0,200,1
181,0,182,1
182,0,184,1
183,0,212,0
183,1,175,0
183,2,166,0
183,3,183,1
184,0,182,1
185,0,195,1
186,0,206,0
186,1,176,1
187,0,216,0
187,1,195,1
188,0,211,0
188,1,177,1
189,0,216,0
189,1,216,1
190,0,206,1
191,0,189,1
192,0,211,0
192,1,212,0
192,2,198,1
193,0,183,1
194,0,198,0
194,1,220,0
194,2,184,0
194,3,207,1
195,0,213,0
195,1,189,1
196,0,196,0
196,1,178,1
197,0,202,1
198,0,177,0
198,1,199,1
199,0,195,1
200,0,186,0
200,1,216,1
201,0,198,1
202,0,197,0
202,1,181,0
202,2,166,0
202,3,197,0
202,4,173,1
203,0,186,0
203,1,217,1
204,0,202,0
204,1,212,0
204,2,206,0
204,3,202,1
205,0,191,1
206,0,205,1
207,0,168,1
208,0,174,1
209,0,168,1
210,0,193,0
210,1,217,0
210,2,179,1
211,0,223,1
212,0,213,1
213,0,207,1
214,0,194,1
215,0,236,1
216,0,179,0
216,1,200,1
217,0,215,0
217,1,210,0
217,2,164,0
217,3,182,1
218,0,185,0
218,1,205,1
219,0,189,0
219,1,182,1
220,0,209,1
221,0,184,1
222,0,206,1
223,0,227,1
224,0,171,1
225,0,204,0
225,1,167,0
225,2,190,1
226,0,188,1
227,0,213,1
228,0,216,1
229,0,193,0
229,1,196,1
230,0,193,1
231,0,184,1
232,0,156,0
232,1,213,0
232,2,208,1
233,0,215,0
233,1,190,1
234,0,223,0
234,1,163,1
235,0,219,0
235,1,198,1
236,0,179,1
237,0,184,0
237,1,178,1
238,0,210,1
239,0,206,1
240,0,198,0
240,1,184,1
241,0,193,1
242,0,161,1
243,0,190,0
243,1,220,1
244,0,196,0
244,1,196,1
245,0,196,1
246,0,211,0
246,1,191,1
247,0,166,1
248,0,157,0
248,1,170,0
248,2,210,1
249,0,228,0
249,1,182,0
249,2,199,1
250,0,190,1
251,0,214,1
252,0,204,1
253,0,180,1
254,0,188,1
255,0,195,1
256,0,198,0
256,1,176,1
257,0,222,1
258,0,215,1
259,0,181,0
259,1,188,1
260,0,214,1
261,0,216,0
261,1,184,1
262,0,233,1
263,0,215,0
263,1,183,1
264,0,196,0
264,1,175,0
264,2,215,1
265,0,201,1
266,0,220,1
267,0,188,1
268,0,170,1
269,0,225,1
270,0,174,0
270,1,179,1
271,0,199,1
272,0,196,0
272,1,198,0
272,2,217,1
273,0,197,1
274,0,220,0
274,1,175,1
275,0,218,1
276,0,210,1
277,0,207,0
277,1,174,1
278,0,218,0
278,1,187,1
279,0,207,0
279,1,178,1
280,0,179,1
281,0,220,0
281,1,183,1
282,0,189,1
283,0,222,1
284,0,209,0
284,1,201,1
285,0,191,1
286,0,212,1
287,0,177,1
288,0,205,1
289,0,227,1
290,0,159,1
291,0,179,1
292,0,182,1
293,0,181,1
294,0,193,0
294,1,209,1
295,0,224,1
296,0,171,1
297,0,212,1
298,0,203,0
298,1,202,0
298,2,184,1
299,0,166,1
300,0,184,1
301,0,153,1
302,0,182,1
303,0,187,1
304,0,183,1
305,0,192,1
306,0,200,1
307,0,200,1
308,0,218,1
309,0,202,1
310,0,193,0
310,1,212,0
310,2,194,1
311,0,198,1
312,0,201,1
313,0,170,1
314,0,199,0
314,1,217,1
315,0,207,1
316,0,199,1
317,0,209,1
318,0,183,1
319,0,192,0
319,1,185,0
319,2,184,1
320,0,200,1
321,0,169,1
322,0,195,1
323,0,191,1
324,0,193,0
324,1,199,0
324,2,163,1
325,0,181,1
326,0,214,0
326,1,212,1
327,0,214,1
328,0,180,1
329,0,194,0
329,1,205,1
330,0,180,1
331,0,199,1
332,0,153,0
332,1,195,1
333,0,201,1
334,0,190,1
335,0,188,1
336,0,162,1
337,0,200,1
338,0,217,1
339,0,203,0
339,1,155,1
340,0,224,1
341,0,193,1
342,0,197,1
343,0,210,1
344,0,177,1
345,0,196,1
346,0,190,1
347,0,206,1
348,0,184,1
349,0,201,0
349,1,166,1
350,0,191,1
351,0,181,1
352,0,209,1
353,0,220,1
354,0,196,1
355,0,219,1
356,0,168,0
356,1,202,1
357,0,206,0
357,1,172,0
357,2,208,1
358,0,193,1
359,0,194,1
360,0,175,1
361,0,184,0
361,1,157,0
361,2,205,1
362,0,190,1
363,0,224,0
363,1,193,0
363,2,200,0
363,3,200,0
363,4,187,0
363,5,225,1
364,0,199,0
364,1,203,0
364,2,193,1
365,0,219,0
365,1,168,1
366,0,193,0
366,1,182,1
367,0,191,0
367,1,206,0
367,2,172,1
368,0,183,0
368,1,162,0
368,2,210,0
368,3,189,0
368,4,206,1
369,0,201,0
369,1,208,1
370,0,226,1
371,0,212,0
371,1,223,1
372,0,179,0
372,1,191,0
372,2,180,0
372,3,187,0
372,4,209,1
373,0,211,1
374,0,195,1
375,0,186,1
376,0,200,0
376,1,194,1
377,0,190,1
378,0,213,1
379,0,202,0
379,1,180,1
380,0,188,1
381,0,183,0
381,1,183,1
382,0,192,1
383,0,190,1
384,0,206,1
385,0,185,1
386,0,197,1
387,0,202,0
387,1,193,1
388,0,171,1
389,0,172,1
390,0,196,0
390,1,207,0
390,2,189,1
391,0,205,0
391,1,233,0
391,2,181,0
391,3,188,1
392,0,176,0
392,1,181,0
392,2,184,0
392,3,203,1
393,0,199,1
394,0,216,1
395,0,217,0
395,1,188,0
395,2,182,0
395,3,202,0
395,4,197,1
396,0,178,0
396,1,153,1
397,0,170,1
398,0,173,1
399,0,185,1
400,0,167,1
401,0,199,0
401,1,189,1
402,0,179,0
402,1,208,0
402,2,182,0
402,3,212,1
403,0,210,0
403,1,185,1
404,0,179,1
405,0,189,0
405,1,222,0
405,2,203,1
406,0,179,0
406,1,199,1
407,0,199,1
408,0,191,1
409,0,196,0
409,1,179,0
409,2,224,1
410,0,206,0
410,1,216,1
411,0,194,1
412,0,169,1
413,0,221,0
413,1,199,0
413,2,205,1
414,0,198,0
414,1,212,0
414,2,217,1
415,0,195,1
416,0,186,0
416,1,192,1
417,0,170,1
418,0,184,0
418,1,208,1
419,0,166,1
420,0,199,1
421,0,206,0
421,1,219,0
421,2,196,1
422,0,208,0
422,1,205,1
423,0,221,0
423,1,226,0
423,2,196,1
424,0,199,1
425,0,166,1
426,0,230,1
427,0,186,1
428,0,200,0
428,1,173,1
429,0,213,0
429,1,209,1
430,0,192,0
430,1,168,1
431,0,183,1
432,0,150,1
433,0,206,1
434,0,228,0
434,1,205,0
434,2,194,0
434,3,188,1
435,0,172,1
436,0,196,1
437,0,179,1
438,0,197,1
439,0,162,1
440,0,195,1
441,0,218,1
442,0,192,1
443,0,208,1
444,0,187,0
444,1,201,0
444,2,191,0
444,3,227,0
444,4,150,0
444,5,235,1
445,0,189,1
446,0,193,1
447,0,194,0
447,1,203,1
448,0,182,1
449,0,195,1
450,0,222,0
450,1,176,0
450,2,225,0
450,3,207,1
451,0,188,1
452,0,212,1
453,0,199,1
454,0,183,1
455,0,227,1
456,0,222,1
457,0,230,1
458,0,141,1
459,0,186,0
459,1,162,1
460,0,202,0
460,1,199,0
460,2,192,1
461,0,217,1
462,0,208,1
463,0,170,0
463,1,218,1
464,0,201,1
465,0,222,1
466,0,187,1
467,0,208,0
467,1,227,1
468,0,171,0
468,1,169,0
468,2,219,1
469,0,213,1
470,0,213,1
471,0,198,1
472,0,175,1
473,0,190,1
474,0,173,1
475,0,194,1
476,0,201,0
476,1,173,0
476,2,172,0
476,3,167,1
477,0,188,1
478,0,208,0
478,1,193,0
478,2,177,1
479,0,229,0
479,1,168,1
480,0,204,0
480,1,187,1
481,0,199,1
482,0,218,0
482,1,188,1
483,0,192,1
484,0,153,1
485,0,193,0
485,1,192,1
486,0,189,0
486,1,189,0
486,2,181,1
487,0,208,1
488,0,210,1
489,0,194,1
490,0,188,0
490,1,192,1
491,0,203,1
492,0,172,1
