concurso,acutotal,vsaparecer,somatotal,sorteado
1,0,1,199,no
2,1,0,185,yes
3,2,0,182,yes
4,3,0,197,yes
5,4,0,202,yes
6,5,0,183,yes
7,6,0,215,yes
8,7,0,204,yes
9,7,1,212,no
10,7,2,170,no
11,7,3,214,no
12,8,0,165,yes
13,8,1,176,no
14,9,0,198,yes
15,10,0,204,yes
16,10,1,207,no
17,11,0,171,yes
18,11,1,216,no
19,11,2,191,no
20,11,3,198,no
21,12,0,212,yes
22,13,0,148,yes
23,14,0,164,yes
24,15,0,202,yes
25,16,0,169,yes
26,16,1,215,no
27,16,2,222,no
28,17,0,191,yes
29,18,0,199,yes
30,19,0,178,yes
31,20,0,209,yes
32,21,0,177,yes
33,22,0,193,yes
34,23,0,184,yes
35,24,0,209,yes
36,25,0,206,yes
37,26,0,189,yes
38,27,0,175,yes
39,27,1,223,no
40,28,0,192,yes
41,28,1,217,no
42,29,0,188,yes
43,30,0,201,yes
44,30,1,208,no
45,31,0,204,yes
46,32,0,191,yes
47,33,0,163,yes
48,33,1,215,no
49,33,2,209,no
50,34,0,182,yes
51,35,0,187,yes
52,36,0,206,yes
53,37,0,186,yes
54,37,1,188,no
55,37,2,162,no
56,38,0,212,yes
57,39,0,178,yes
58,39,1,195,no
59,40,0,180,yes
60,41,0,198,yes
61,42,0,209,yes
62,43,0,201,yes
63,43,1,231,no
64,44,0,176,yes
65,45,0,220,yes
66,46,0,208,yes
67,46,1,216,no
68,47,0,166,yes
69,48,0,207,yes
70,49,0,181,yes
71,50,0,185,yes
72,51,0,197,yes
73,52,0,194,yes
74,53,0,172,yes
75,54,0,161,yes
76,55,0,197,yes
77,55,1,204,no
78,56,0,166,yes
79,57,0,210,yes
80,58,0,172,yes
81,59,0,150,yes
82,60,0,192,yes
83,61,0,177,yes
84,62,0,214,yes
85,63,0,185,yes
86,63,1,199,no
87,64,0,186,yes
88,65,0,179,yes
89,66,0,245,yes
90,67,0,214,yes
91,68,0,212,yes
92,69,0,196,yes
93,69,1,198,no
94,69,2,215,no
95,70,0,173,yes
96,70,1,218,no
97,70,2,227,no
98,71,0,207,yes
99,72,0,188,yes
100,73,0,188,yes
101,74,0,203,yes
102,75,0,187,yes
103,76,0,172,yes
104,76,1,226,no
105,76,2,199,no
106,77,0,172,yes
107,78,0,181,yes
108,79,0,187,yes
109,80,0,208,yes
110,81,0,205,yes
111,82,0,219,yes
112,83,0,184,yes
113,84,0,185,yes
114,85,0,183,yes
115,86,0,185,yes
116,87,0,214,yes
117,87,1,205,no
118,87,2,206,no
119,88,0,209,yes
120,89,0,193,yes
121,90,0,184,yes
122,91,0,192,yes
123,91,1,222,no
124,91,2,203,no
125,91,3,187,no
126,92,0,184,yes
127,93,0,175,yes
128,93,1,209,no
129,93,2,216,no
130,93,3,187,no
131,93,4,192,no
132,94,0,182,yes
133,95,0,192,yes
134,96,0,183,yes
135,97,0,200,yes
136,98,0,187,yes
137,98,1,207,no
138,98,2,193,no
139,99,0,220,yes
140,100,0,199,yes
141,101,0,202,yes
142,102,0,188,yes
143,103,0,226,yes
144,104,0,208,yes
145,105,0,204,yes
146,106,0,203,yes
147,107,0,190,yes
148,108,0,199,yes
149,108,1,223,no
150,109,0,198,yes
151,109,1,189,no
152,109,2,211,no
153,110,0,204,yes
154,111,0,170,yes
155,111,1,209,no
156,112,0,184,yes
157,113,0,188,yes
158,113,1,209,no
159,114,0,165,yes
160,115,0,196,yes
161,116,0,239,yes
162,117,0,166,yes
163,118,0,188,yes
164,119,0,183,yes
165,120,0,185,yes
166,120,1,201,no
167,121,0,188,yes
168,122,0,195,yes
169,123,0,169,yes
170,124,0,181,yes
171,125,0,217,yes
172,126,0,181,yes
173,126,1,209,no
174,127,0,193,yes
175,127,1,186,no
176,127,2,233,no
177,127,3,212,no
178,127,4,204,no
179,127,5,202,no
180,128,0,158,yes
181,129,0,198,yes
182,129,1,198,no
183,129,2,213,no
184,130,0,203,yes
185,131,0,179,yes
186,131,1,217,no
187,132,0,240,yes
188,132,1,222,no
189,133,0,189,yes
190,134,0,181,yes
191,134,1,214,no
192,135,0,180,yes
193,136,0,172,yes
194,136,1,216,no
195,136,2,175,no
196,136,3,219,no
197,136,4,181,no
198,137,0,184,yes
199,138,0,173,yes
200,139,0,178,yes
201,140,0,165,yes
202,141,0,217,yes
203,142,0,174,yes
204,142,1,196,no
