concurso,acutotal,vsaparecer,somatotal,sorteado
1,1,0,199,yes
2,1,1,185,no
3,1,2,182,no
4,2,0,197,yes
5,3,0,202,yes
6,4,0,183,yes
7,4,1,215,no
8,4,2,204,no
9,4,3,212,no
10,5,0,170,yes
11,6,0,214,yes
12,7,0,165,yes
13,7,1,176,no
14,8,0,198,yes
15,9,0,204,yes
16,10,0,207,yes
17,11,0,171,yes
18,12,0,216,yes
19,13,0,191,yes
20,13,1,198,no
21,14,0,212,yes
22,15,0,148,yes
23,15,1,164,no
24,16,0,202,yes
25,17,0,169,yes
26,17,1,215,no
27,17,2,222,no
28,17,3,191,no
29,17,4,199,no
30,18,0,178,yes
31,19,0,209,yes
32,20,0,177,yes
33,21,0,193,yes
34,22,0,184,yes
35,22,1,209,no
36,22,2,206,no
37,22,3,189,no
38,23,0,175,yes
39,24,0,223,yes
40,25,0,192,yes
41,26,0,217,yes
42,26,1,188,no
43,26,2,201,no
44,26,3,208,no
45,27,0,204,yes
46,28,0,191,yes
47,29,0,163,yes
48,30,0,215,yes
49,31,0,209,yes
50,32,0,182,yes
51,32,1,187,no
52,33,0,206,yes
53,34,0,186,yes
54,35,0,188,yes
55,36,0,162,yes
56,37,0,212,yes
57,38,0,178,yes
58,38,1,195,no
59,38,2,180,no
60,39,0,198,yes
61,39,1,209,no
62,39,2,201,no
63,39,3,231,no
64,40,0,176,yes
65,41,0,220,yes
66,42,0,208,yes
67,42,1,216,no
68,43,0,166,yes
69,43,1,207,no
70,44,0,181,yes
71,44,1,185,no
72,45,0,197,yes
73,46,0,194,yes
74,47,0,172,yes
75,47,1,161,no
76,47,2,197,no
77,48,0,204,yes
78,49,0,166,yes
79,50,0,210,yes
80,51,0,172,yes
81,52,0,150,yes
82,52,1,192,no
83,53,0,177,yes
84,54,0,214,yes
85,55,0,185,yes
86,56,0,199,yes
87,57,0,186,yes
88,58,0,179,yes
89,58,1,245,no
90,59,0,214,yes
91,59,1,212,no
92,60,0,196,yes
93,61,0,198,yes
94,62,0,215,yes
95,63,0,173,yes
96,63,1,218,no
97,63,2,227,no
98,64,0,207,yes
99,65,0,188,yes
100,65,1,188,no
101,65,2,203,no
102,66,0,187,yes
103,67,0,172,yes
104,67,1,226,no
105,67,2,199,no
106,68,0,172,yes
107,68,1,181,no
108,69,0,187,yes
109,69,1,208,no
110,69,2,205,no
111,69,3,219,no
112,70,0,184,yes
113,71,0,185,yes
114,72,0,183,yes
115,72,1,185,no
116,73,0,214,yes
117,73,1,205,no
118,74,0,206,yes
119,74,1,209,no
120,74,2,193,no
121,75,0,184,yes
122,76,0,192,yes
